FirstName,LastName,ProductName,OrderQuantity,Year
JENNY,LAL,Water Bottle - 30 oz.,7,2017
NOAH,THOMPSON,Touring Tire Tube,7,2017
DOUGLAS,SRINI,Patch Kit/8 Patches,7,2017
RICHARD,PETERSON,AWC Logo Cap,7,2017
DEBORAH,XIE,Mountain Bottle Cage,7,2017
MANUEL,MEHTA,AWC Logo Cap,7,2017
KEVIN,HERNANDEZ,Water Bottle - 30 oz.,7,2017
DONALD,ARUN,Touring Tire Tube,7,2017
CAROL,SAUNDERS,AWC Logo Cap,7,2017
CLARENCE,ANDERSEN,Water Bottle - 30 oz.,7,2017
CRISTINA,TANG,"""Half-Finger Gloves, S""",7,2017
LOGAN,SHARMA,"""Half-Finger Gloves, M""",7,2017
JILL,MARTINEZ,Patch Kit/8 Patches,7,2017
JOCELYN,GONZALES,Patch Kit/8 Patches,7,2017
MASON,KELLY,"""Racing Socks, L""",7,2017
CORY,SAI,Mountain Bottle Cage,7,2017
NATALIE,DIAZ,Fender Set - Mountain,7,2017
AIDAN,PERRY,Water Bottle - 30 oz.,7,2017
EVELYN,RODRIGUEZ,"""Short-Sleeve Classic Jersey, S""",7,2017
BARRY,PRASAD,Patch Kit/8 Patches,7,2017
RICHARD,WALKER,Fender Set - Mountain,7,2017
EDWARD,MARTIN,Water Bottle - 30 oz.,7,2017
BRENDAN,XIE,"""Racing Socks, L""",7,2017
SCOTT,SEELY,AWC Logo Cap,7,2017
KELLI,LIU,Patch Kit/8 Patches,7,2017
DAVID,ALEXANDER,"""Sport-100 Helmet, Black""",7,2017
SETH,JONES,Patch Kit/8 Patches,7,2017
DAKOTA,WOOD,Patch Kit/8 Patches,7,2017
JORDAN,SIMMONS,Mountain Tire Tube,7,2017
HALEY,HOWARD,Water Bottle - 30 oz.,7,2017
TAMMY,SMITH,Patch Kit/8 Patches,7,2017
KEITH,TANG,Road Tire Tube,7,2017
TIMOTHY,HERNANDEZ,AWC Logo Cap,7,2017
ABIGAIL,THOMPSON,AWC Logo Cap,7,2017
CYNTHIA,PATEL,"""Half-Finger Gloves, L""",7,2017
CONNOR,ADAMS,ML Mountain Tire,7,2017
JESSE,BROOKS,Patch Kit/8 Patches,7,2017
BILLY,CARLSON,Fender Set - Mountain,7,2017
ALEXANDRA,WINSTON,LL Road Tire,7,2017
ALEJANDRO,ZHOU,AWC Logo Cap,7,2017
SUZANNE,HUANG,Patch Kit/8 Patches,6,2017
ERICK,PEREZ,Patch Kit/8 Patches,6,2017
JADE,ROGERS,Patch Kit/8 Patches,6,2017
HAROLD,RAY,Water Bottle - 30 oz.,6,2017
OLIVIA,ANDERSON,Touring Tire Tube,6,2017
ALVIN,YANG,Touring Tire,6,2017
DALE,LAL,AWC Logo Cap,6,2017
LEE,SUAREZ,AWC Logo Cap,6,2017
ALEJANDRO,NARA,"""Sport-100 Helmet, Blue""",6,2017
DEANNA,NAVARRO,Mountain Bottle Cage,6,2017
VADIM,SAZANOVICH,Water Bottle - 30 oz.,6,2017
DAWN,GUO,Water Bottle - 30 oz.,6,2017
MITCHELL,SHEN,Road Tire Tube,6,2017
JASMINE,HARRIS,Water Bottle - 30 oz.,6,2017
JEREMY,ROBINSON,Fender Set - Mountain,6,2017
MELISSA,GONZALES,Patch Kit/8 Patches,6,2017
JENNIFER,THOMPSON,Patch Kit/8 Patches,6,2017
RILEY,HOWARD,Patch Kit/8 Patches,6,2017
CAROLINE,BENNETT,Bike Wash - Dissolver,6,2017
KATHERINE,MORRIS,"""Racing Socks, L""",6,2017
LAUREN,MURPHY,"""Racing Socks, M""",6,2017
KURT,ANDERSEN,Mountain Tire Tube,6,2017
ASHLEY,CLARK,Road Tire Tube,6,2017
PETER,SHAN,Patch Kit/8 Patches,6,2017
FERNANDO,HAYES,Patch Kit/8 Patches,6,2017
ALEXA,MORRIS,Water Bottle - 30 oz.,6,2017
DUSTIN,XIE,Patch Kit/8 Patches,6,2017
SHANNON,SUAREZ,"""Long-Sleeve Logo Jersey, XL""",6,2017
JANET,WRIGHT,Road Tire Tube,6,2017
GILBERT,XU,Patch Kit/8 Patches,6,2017
RAYMOND,FERNANDEZ,ML Mountain Tire,6,2017
CASSIE,RAI,Water Bottle - 30 oz.,6,2017
NAOMI,ROMERO,Patch Kit/8 Patches,6,2017
BRANDON,JAI,Water Bottle - 30 oz.,6,2017
FERNANDO,THOMAS,ML Mountain Tire,6,2017
MARIAH,SANCHEZ,LL Road Tire,6,2017
KEVIN,POWELL,Patch Kit/8 Patches,6,2017
CRYSTAL,LIANG,Water Bottle - 30 oz.,6,2017
LAURA,WU,Patch Kit/8 Patches,6,2017
DONALD,SURI,Water Bottle - 30 oz.,6,2017
CYNTHIA,MEHTA,AWC Logo Cap,6,2017
BAILEY,COOPER,Water Bottle - 30 oz.,6,2017
EMMA,BRADLEY,Water Bottle - 30 oz.,6,2017
LOUIS,RAJE,AWC Logo Cap,6,2017
LUKE,HENDERSON,Patch Kit/8 Patches,6,2017
ARMANDO,DIAZ,Mountain Bottle Cage,6,2017
ASHLEE,KUMAR,Mountain Tire Tube,6,2017
MYA,DIAZ,Road Tire Tube,6,2017
ISAIAH,GRAY,Mountain Bottle Cage,6,2017
CHRISTY,SUN,Road Tire Tube,6,2017
DANIELLE,GRAY,Mountain Tire Tube,6,2017
VICTORIA,SMITH,Water Bottle - 30 oz.,6,2017
TAMMY,SAI,Water Bottle - 30 oz.,6,2017
ALBERT,RUBIO,Road Bottle Cage,6,2017
GRANT,PAL,ML Mountain Tire,6,2017
HALEY,MURPHY,Water Bottle - 30 oz.,6,2017
FERNANDO,ROBINSON,Water Bottle - 30 oz.,6,2017
MICHELLE,MORRIS,Water Bottle - 30 oz.,6,2017
AMANDA,WATSON,Water Bottle - 30 oz.,6,2017
ALLISON,MURPHY,Road Tire Tube,6,2017
JEREMIAH,GONZALEZ,Fender Set - Mountain,6,2017
CASEY,NARA,ML Mountain Tire,6,2017
KRISTINA,MEHTA,Water Bottle - 30 oz.,6,2017
MACKENZIE,ROBERTS,Bike Wash - Dissolver,6,2017
MICHELE,GUTIERREZ,Fender Set - Mountain,6,2017
HUNTER,LOPEZ,Road Tire Tube,6,2017
BRIANNA,WHITE,Water Bottle - 30 oz.,6,2017
KELSEY,CHANDE,Water Bottle - 30 oz.,6,2017
BYRON,SANZ,Water Bottle - 30 oz.,6,2017
TAMMY,RANDALL,Patch Kit/8 Patches,6,2017
MORGAN,WASHINGTON,Water Bottle - 30 oz.,6,2017
XAVIER,JENKINS,AWC Logo Cap,6,2017
HAROLD,SANCHEZ,Patch Kit/8 Patches,6,2017
ANGEL,LOPEZ,AWC Logo Cap,6,2017
JODI,SHAN,Water Bottle - 30 oz.,6,2017
JANET,CARLSON,AWC Logo Cap,6,2017
JADA,PETERSON,Water Bottle - 30 oz.,6,2017
FERNANDO,WALKER,Water Bottle - 30 oz.,6,2017
FERNANDO,PERRY,LL Road Tire,6,2017
ANTONIO,POWELL,Patch Kit/8 Patches,6,2017
CHARLES,PETERSON,Mountain Bottle Cage,6,2017
JONATHAN,NELSON,Water Bottle - 30 oz.,6,2017
GARY,ROMERO,Water Bottle - 30 oz.,6,2017
TAMARA,JOHNSTON,Fender Set - Mountain,6,2017
MELISSA,SANCHEZ,Patch Kit/8 Patches,6,2017
LOGAN,WILSON,Bike Wash - Dissolver,6,2017
ISAAC,PEREZ,Water Bottle - 30 oz.,6,2017
EMMANUEL,MADAN,Road Bottle Cage,6,2017
EDUARDO,LOPEZ,Water Bottle - 30 oz.,6,2017
CAROLYN,TORRES,Water Bottle - 30 oz.,6,2017
LOUIS,GAO,"""Mountain-200 Black, 46""",6,2017
CHAD,SHARMA,Patch Kit/8 Patches,6,2017
JORDYN,DIAZ,Water Bottle - 30 oz.,6,2017
LEE,GILL,Road Tire Tube,6,2017
JACQUELINE,BUTLER,Water Bottle - 30 oz.,6,2017
TRISTAN,ALEXANDER,"""Half-Finger Gloves, L""",6,2017
THOMAS,JOHNSON,Water Bottle - 30 oz.,6,2017
TIFFANY,WANG,Road Bottle Cage,6,2017
DALTON,RIVERA,Road Bottle Cage,6,2017
JOSHUA,LEWIS,Patch Kit/8 Patches,6,2017
ALEXANDRA,BRYANT,AWC Logo Cap,6,2017
ALYSSA,DIAZ,Patch Kit/8 Patches,6,2017
KATHERINE,KING,Road Tire Tube,6,2017
ADRIENNE,DOMINGUEZ,Road Bottle Cage,6,2017
TOMMY,RAJE,Touring Tire,6,2017
JONATHAN,WRIGHT,"""Half-Finger Gloves, L""",6,2017
ANDRE,SARA,Water Bottle - 30 oz.,6,2017
AIMEE,ZHANG,Water Bottle - 30 oz.,6,2017
SHANNON,LI,Water Bottle - 30 oz.,6,2017
LAUREN,BAILEY,Road Tire Tube,6,2017
COLE,BAILEY,Patch Kit/8 Patches,6,2017
ROGER,YUAN,Touring Tire Tube,6,2017
CHRISTINE,YUAN,"""Half-Finger Gloves, M""",6,2017
JORDAN,WRIGHT,Touring Tire,6,2017
ABIGAIL,ROBINSON,Patch Kit/8 Patches,6,2017
SPENCER,PRICE,Road Tire Tube,6,2017
EUGENE,XU,Water Bottle - 30 oz.,6,2017
XAVIER,POWELL,Water Bottle - 30 oz.,6,2017
CLARENCE,HU,Bike Wash - Dissolver,6,2017
CRAIG,RUIZ,Patch Kit/8 Patches,6,2017
LEE,OLIVER,Mountain Bottle Cage,6,2017
TAMMY,PATEL,Patch Kit/8 Patches,6,2017
TARA,SUTTON,Road Tire Tube,6,2017
BETH,ALONSO,Water Bottle - 30 oz.,6,2017
JARED,STEWART,Road Tire Tube,6,2017
AMANDA,BRYANT,Road Bottle Cage,6,2017
JACQUELINE,LONG,AWC Logo Cap,6,2017
KRISTINA,KAPOOR,AWC Logo Cap,6,2017
PAIGE,MORRIS,Water Bottle - 30 oz.,6,2017
NICHOLE,SHE,Water Bottle - 30 oz.,6,2017
ROBERTO,NAVARRO,Patch Kit/8 Patches,6,2017
ANDREW,MOORE,Mountain Tire Tube,6,2017
KRISTI,GILL,Water Bottle - 30 oz.,6,2017
RANDALL,GUTIERREZ,Water Bottle - 30 oz.,6,2017
VERONICA,GARCIA,Bike Wash - Dissolver,6,2017
RACHEL,WHITE,"""Half-Finger Gloves, M""",6,2017
SHAWN,SHAN,Bike Wash - Dissolver,6,2017
JORDAN,HERNANDEZ,Mountain Tire Tube,6,2017
THOMAS,LEE,Water Bottle - 30 oz.,6,2017
COURTNEY,ADAMS,Mountain Tire Tube,6,2017
ALEJANDRO,MA,Water Bottle - 30 oz.,6,2017
BRENT,ZHU,ML Road Tire,6,2017
VALERIE,ZENG,Mountain Bottle Cage,6,2017
ADAM,BRYANT,Water Bottle - 30 oz.,6,2017
ALEXANDER,JONES,Fender Set - Mountain,6,2017
GABRIELLE,PETERSON,Patch Kit/8 Patches,6,2017
TARA,SHAN,Fender Set - Mountain,6,2017
JENNIFER,COOK,Mountain Tire Tube,6,2017
RONNIE,LI,Mountain Tire Tube,6,2017
BRETT,RANA,Patch Kit/8 Patches,6,2017
JUAN,RAMOS,"""Touring-1000 Yellow, 54""",6,2017
BARBARA,TANG,Water Bottle - 30 oz.,6,2017
SARA,ROGERS,Water Bottle - 30 oz.,6,2017
ERIKA,DOMINGUEZ,LL Mountain Tire,6,2017
KEVIN,NELSON,Mountain Bottle Cage,6,2017
BRITTNEY,GUO,Patch Kit/8 Patches,6,2017
PHILIP,DOMINGUEZ,"""Sport-100 Helmet, Blue""",6,2017
CHRISTOPHER,LEE,Patch Kit/8 Patches,6,2017
ANDREW,LEWIS,Water Bottle - 30 oz.,6,2017
SYDNEY,COOK,"""Sport-100 Helmet, Black""",6,2017
TABITHA,GILL,"""Half-Finger Gloves, L""",6,2017
MARIAH,BENNETT,Road Tire Tube,6,2017
REGINA,FERNANDEZ,AWC Logo Cap,6,2017
ALLISON,BROOKS,Water Bottle - 30 oz.,6,2017
LUCAS,HOWARD,Mountain Tire Tube,6,2017
KELLI,CHEN,AWC Logo Cap,6,2017
ALLISON,COOPER,Water Bottle - 30 oz.,6,2017
JAMES,LEWIS,Touring Tire,6,2017
KRISTI,BLANCO,Mountain Tire Tube,6,2017
BRANDI,HERNANDEZ,Patch Kit/8 Patches,6,2017
SHEILA,RAMOS,"""Half-Finger Gloves, L""",6,2017
LINDSEY,NATH,Road Tire Tube,6,2017
DESTINY,SMITH,"""Half-Finger Gloves, S""",6,2017
CONNOR,JENKINS,Road Tire Tube,6,2017
BLAKE,GONZALES,Patch Kit/8 Patches,6,2017
DESTINY,RAMIREZ,Mountain Bottle Cage,6,2017
JON,HU,Patch Kit/8 Patches,6,2017
TRINITY,RICHARDSON,Water Bottle - 30 oz.,6,2017
SARA,PARKER,Water Bottle - 30 oz.,6,2017
NICOLAS,XIE,AWC Logo Cap,6,2017
BRUCE,DIAZ,Patch Kit/8 Patches,6,2017
REGINALD,RAMOS,Bike Wash - Dissolver,6,2017
KARI,SUAREZ,Water Bottle - 30 oz.,6,2017
JONATHAN,LOPEZ,Patch Kit/8 Patches,6,2017
CARLY,ANDERSEN,Water Bottle - 30 oz.,6,2017
CLIFFORD,PRASAD,"""Half-Finger Gloves, M""",6,2017
BAILEY,TURNER,"""Half-Finger Gloves, L""",6,2017
GABRIELLA,RICHARDSON,ML Road Tire,6,2017
MARSHALL,RAJE,Patch Kit/8 Patches,6,2017
LINDSEY,LUO,Road Tire Tube,6,2017
ADRIENNE,ALVAREZ,Road Tire Tube,6,2017
MEGAN,BAILEY,Mountain Bottle Cage,6,2017
NEIL,NAVARRO,AWC Logo Cap,6,2017
OSCAR,HAYES,Patch Kit/8 Patches,6,2017
ROSA,HU,Road Bottle Cage,6,2017
JONATHON,GILL,Water Bottle - 30 oz.,6,2017
JACLYN,ZHOU,Water Bottle - 30 oz.,6,2017
JOE,SURI,Patch Kit/8 Patches,6,2017
ETHAN,HUGHES,"""Half-Finger Gloves, M""",6,2017
SHANNON,ORTEGA,Water Bottle - 30 oz.,6,2017
ALEXANDRA,CAMPBELL,Mountain Bottle Cage,6,2017
JAMES,JENKINS,Touring Tire Tube,6,2017
CAROLYN,CHANDRA,Road Bottle Cage,6,2017
GILBERT,SHARMA,Water Bottle - 30 oz.,6,2017
JORDAN,JAI,AWC Logo Cap,6,2017
MARISSA,PERRY,"""Half-Finger Gloves, S""",6,2017
ANDRES,LAL,Mountain Tire Tube,6,2017
SUZANNE,HU,Mountain Tire Tube,6,2017
OSCAR,JENKINS,"""Half-Finger Gloves, M""",6,2017
JAY,ROMERO,Fender Set - Mountain,6,2017
ANGEL,TORRES,AWC Logo Cap,6,2017
ISABELLA,KING,LL Road Tire,6,2017
BRANDI,SUAREZ,Road Bottle Cage,6,2017
PHILIP,SUAREZ,Touring Tire Tube,6,2017
JULIE,RAJE,Water Bottle - 30 oz.,6,2017
JEROME,HERNANDEZ,Water Bottle - 30 oz.,6,2017
TERRENCE,ANAND,"""Touring-1000 Blue, 50""",6,2017
BRENDAN,ANDERSEN,Mountain Bottle Cage,6,2017
BRANDI,VAZQUEZ,Patch Kit/8 Patches,6,2017
EDUARDO,DAVIS,Patch Kit/8 Patches,6,2017
ALEXIS,SIMMONS,Road Tire Tube,6,2017
AUDREY,MUNOZ,AWC Logo Cap,6,2017
BLAKE,PERRY,Mountain Bottle Cage,6,2017
DOMINIQUE,SURI,Water Bottle - 30 oz.,6,2017
MAKAYLA,COX,LL Road Tire,6,2017
THEODORE,HERNANDEZ,Water Bottle - 30 oz.,6,2017
PHILLIP,SAI,Water Bottle - 30 oz.,6,2017
ALBERTO,ALONSO,Patch Kit/8 Patches,6,2017
ARIANA,MORGAN,"""Racing Socks, L""",6,2017
EMILY,ROSS,AWC Logo Cap,6,2017
ALAN,HUANG,Water Bottle - 30 oz.,6,2017
DAWN,YANG,Water Bottle - 30 oz.,6,2017
NICOLE,RIVERA,ML Mountain Tire,6,2017
XAVIER,BARNES,Road Tire Tube,6,2017
XAVIER,DIAZ,Touring Tire Tube,6,2017
MARIO,CHANDER,Touring Tire Tube,6,2017
MICHELLE,RIVERA,Water Bottle - 30 oz.,6,2017
ALEXANDRA,WHITE,Patch Kit/8 Patches,6,2017
ERICA,SUN,Road Tire Tube,6,2017
RAFAEL,CAI,Patch Kit/8 Patches,6,2017
KRYSTAL,SHE,Fender Set - Mountain,6,2017
MATHEW,GILL,Water Bottle - 30 oz.,6,2017
SANDRA,HU,LL Road Tire,6,2017
TERRY,LAL,Water Bottle - 30 oz.,6,2017
ETHAN,RODRIGUEZ,Water Bottle - 30 oz.,6,2017
WILLIE,PAL,Patch Kit/8 Patches,6,2017
CHLOE,HUGHES,Fender Set - Mountain,6,2017
TARA,LUO,Water Bottle - 30 oz.,6,2017
JESSE,REED,Water Bottle - 30 oz.,6,2017
MARCUS,TAYLOR,Mountain Tire Tube,6,2017
JARED,BELL,Mountain Tire Tube,6,2017
DEANNA,KAPOOR,Mountain Tire Tube,6,2017
KATHERINE,WARD,"""Half-Finger Gloves, L""",6,2017
DAVID,JENKINS,Water Bottle - 30 oz.,6,2017
TERRY,XU,Patch Kit/8 Patches,6,2017
BRIDGET,NARA,Water Bottle - 30 oz.,6,2017
DAWN,CHEN,AWC Logo Cap,6,2017
TERESA,MARTIN,AWC Logo Cap,6,2017
GABRIELLE,HUGHES,Water Bottle - 30 oz.,6,2017
KELLI,LU,Water Bottle - 30 oz.,6,2017
DIANA,ORTEGA,"""Sport-100 Helmet, Black""",6,2017
JAIME,XIE,Water Bottle - 30 oz.,6,2017
CANDICE,HUANG,LL Road Tire,6,2017
CHLOE,WOOD,Water Bottle - 30 oz.,6,2017
LARRY,ALONSO,Touring Tire Tube,6,2017
MACKENZIE,PHILLIPS,"""Half-Finger Gloves, S""",6,2017
JASMINE,GONZALES,Mountain Tire Tube,6,2017
ANDY,SERRANO,Water Bottle - 30 oz.,6,2017
RONNIE,ZHAO,ML Road Tire,6,2017
ALEXIS,HARRIS,Patch Kit/8 Patches,6,2017
RYAN,ROBINSON,LL Mountain Tire,6,2017
CANDACE,MALHOTRA,Patch Kit/8 Patches,6,2017
ISABELLA,DAVIS,Water Bottle - 30 oz.,6,2017
COLIN,ZHOU,Fender Set - Mountain,6,2017
DAISY,VAZQUEZ,Water Bottle - 30 oz.,6,2017
CONNOR,SIMMONS,Water Bottle - 30 oz.,6,2017
DESIREE,RUBIO,Road Tire Tube,6,2017
ROGER,LAL,Fender Set - Mountain,6,2017
DREW,PAL,Patch Kit/8 Patches,6,2017
SERGIO,SÁNCHEZ,Mountain Tire Tube,6,2017
ALFREDO,MUNOZ,Water Bottle - 30 oz.,6,2017
KYLE,WASHINGTON,Water Bottle - 30 oz.,6,2017
ARIANNA,KELLY,Patch Kit/8 Patches,6,2017
RANDY,XU,Road Bottle Cage,6,2017
MIRANDA,POWELL,Touring Tire Tube,6,2017
JAMES,GARCIA,Patch Kit/8 Patches,6,2017
ALAN,YANG,ML Road Tire,6,2017
TABITHA,ROMERO,Road Tire Tube,6,2017
MARCUS,LEE,Patch Kit/8 Patches,6,2017
PATRICIA,SUBRAM,Touring Tire Tube,6,2017
CHERYL,CARLSON,Patch Kit/8 Patches,6,2017
KARLA,XIE,"""Half-Finger Gloves, L""",6,2017
MONICA,PRASAD,Mountain Tire Tube,6,2017
JANET,SHEPERDIGIAN,ML Mountain Tire,6,2017
DAWN,TANG,Fender Set - Mountain,6,2017
EDGAR,MARTINEZ,LL Road Tire,6,2017
LUCAS,MILLER,Water Bottle - 30 oz.,6,2017
KYLE,WANG,Patch Kit/8 Patches,6,2017
BRIANNA,PRICE,Road Tire Tube,6,2017
CARSON,HUGHES,Water Bottle - 30 oz.,6,2017
BRIANA,JIMÉNEZ,Water Bottle - 30 oz.,6,2017
ETHAN,BUTLER,AWC Logo Cap,6,2017
SYDNEY,WARD,Road Tire Tube,6,2017
ORLANDO,MARTIN,Fender Set - Mountain,6,2017
ALEXANDRIA,JENKINS,Water Bottle - 30 oz.,6,2017
JOHNATHAN,PATEL,Road Tire Tube,6,2017
JORDAN,SHARMA,Bike Wash - Dissolver,6,2017
VANESSA,HAYES,"""Half-Finger Gloves, M""",6,2017
SEAN,RICHARDSON,Water Bottle - 30 oz.,6,2017
GINA,CARLSON,Patch Kit/8 Patches,6,2017
RICHARD,POWELL,"""Half-Finger Gloves, M""",6,2017
GILBERT,HE,Water Bottle - 30 oz.,6,2017
DALTON,GRAY,Mountain Tire Tube,6,2017
JORDAN,HILL,Fender Set - Mountain,6,2017
PATRICK,MORRIS,Touring Tire Tube,6,2017
MARY,NELSON,"""Sport-100 Helmet, Blue""",6,2017
MORGAN,BRYANT,Mountain Tire Tube,6,2017
ANNA,ANDERSON,Water Bottle - 30 oz.,6,2017
DENNIS,LI,Mountain Bottle Cage,6,2017
MAX,SUAREZ,Patch Kit/8 Patches,6,2017
LACEY,ZHAO,"""Half-Finger Gloves, S""",6,2017
RODNEY,ROMERO,"""Short-Sleeve Classic Jersey, S""",6,2017
CINDY,RAMOS,Mountain Tire Tube,6,2017
FAITH,KELLY,Water Bottle - 30 oz.,6,2017
ETHAN,BRYANT,Water Bottle - 30 oz.,6,2017
EMMANUEL,GARCIA,Water Bottle - 30 oz.,6,2017
JOANNA,DOMINGUEZ,"""Half-Finger Gloves, M""",6,2017
JAMES,MARTIN,Patch Kit/8 Patches,6,2017
SHARON,GOEL,Road Tire Tube,6,2017
TERRENCE,SHARMA,Road Tire Tube,6,2017
BRIANA,ORTEGA,Patch Kit/8 Patches,6,2017
DYLAN,MARTIN,Water Bottle - 30 oz.,6,2017
ANGELICA,POWELL,Patch Kit/8 Patches,6,2017
BRITTNEY,HU,Road Tire Tube,6,2017
AUDREY,ALONSO,Patch Kit/8 Patches,6,2017
TYRONE,MUNOZ,Touring Tire Tube,6,2017
FRANCIS,VAZQUEZ,ML Road Tire,6,2017
IAN,RICHARDSON,LL Road Tire,6,2017
HALEY,GRIFFIN,Water Bottle - 30 oz.,6,2017
AMANDA,BAILEY,Water Bottle - 30 oz.,6,2017
LINDSAY,JAI,Patch Kit/8 Patches,6,2017
BETH,SERRANO,Road Tire Tube,6,2017
RYAN,SHAN,Patch Kit/8 Patches,6,2017
ROBIN,DOMINGUEZ,Mountain Tire Tube,6,2017
HAILEY,COOPER,Water Bottle - 30 oz.,6,2017
CLARENCE,RAI,Water Bottle - 30 oz.,6,2017
THOMAS,HARRIS,Water Bottle - 30 oz.,6,2017
CHRISTIAN,HARRIS,Patch Kit/8 Patches,6,2017
SAMUEL,EVANS,ML Road Tire,6,2017
PAIGE,MURPHY,Water Bottle - 30 oz.,6,2017
KAITLYN,LEWIS,Fender Set - Mountain,6,2017
HALEY,RUSSELL,AWC Logo Cap,6,2017
SEAN,GREEN,Patch Kit/8 Patches,6,2017
GAIL,BUTLER,Touring Tire Tube,6,2017
NOAH,GRIFFIN,Water Bottle - 30 oz.,6,2017
GABRIEL,WANG,Mountain Tire Tube,6,2017
TRISHA,ZHENG,Water Bottle - 30 oz.,6,2017
CHARLES,RODRIGUEZ,Patch Kit/8 Patches,6,2017
NEIL,SUAREZ,Patch Kit/8 Patches,6,2017
KEVIN,HAYES,Water Bottle - 30 oz.,6,2017
EUGENE,YE,Touring Tire Tube,6,2017
BRIDGET,TANG,"""Half-Finger Gloves, S""",6,2017
NATALIE,JOHNSON,LL Road Tire,6,2017
CARLA,GARCIA,"""Half-Finger Gloves, M""",6,2017
JACKSON,HILL,Road Bottle Cage,6,2017
GERALD,JIMENEZ,Touring Tire Tube,6,2017
VICTOR,MORENO,"""Half-Finger Gloves, S""",6,2017
FELICIA,ORTEGA,Mountain Tire Tube,6,2017
JAMES,LAL,Touring Tire Tube,6,2017
KATHLEEN,SERRANO,Patch Kit/8 Patches,6,2017
BAILEY,REED,Water Bottle - 30 oz.,6,2017
COLLEEN,ZHU,ML Mountain Tire,6,2017
CANDACE,SUBRAM,Water Bottle - 30 oz.,6,2017
JONATHAN,ANDERSON,Mountain Tire Tube,6,2017
CONNOR,LAL,Patch Kit/8 Patches,6,2017
ROBERT,HERNANDEZ,"""Half-Finger Gloves, S""",6,2017
CRAIG,NAVARRO,Water Bottle - 30 oz.,6,2017
SHAUN,CARSON,Patch Kit/8 Patches,6,2017
GEORGE,SUBRAM,Road Tire Tube,6,2017
KYLE,BAKER,Road Tire Tube,6,2017
LARRY,BLANCO,Water Bottle - 30 oz.,6,2017
CHARLES,SANDERS,Mountain Tire Tube,6,2017
KATHRYN,DENG,Water Bottle - 30 oz.,6,2017
LUIS,YANG,AWC Logo Cap,6,2017
MACKENZIE,YOUNG,Road Tire Tube,6,2017
REBEKAH,GUTIERREZ,"""Racing Socks, M""",6,2017
DWAYNE,TORRES,Water Bottle - 30 oz.,6,2017
ETHAN,LONG,Water Bottle - 30 oz.,6,2017
SHELBY,RAMIREZ,Water Bottle - 30 oz.,6,2017
BRADLEY,KUMAR,Water Bottle - 30 oz.,6,2017
TAYLOR,ALEXANDER,Mountain Tire Tube,6,2017
SIERRA,GREEN,Patch Kit/8 Patches,6,2017
MIRANDA,WASHINGTON,Water Bottle - 30 oz.,6,2017
ADRIANA,GONZALEZ,Touring Tire Tube,6,2017
ERICA,ZENG,Patch Kit/8 Patches,6,2017
HANNAH,BARNES,"""Racing Socks, M""",6,2017
GARY,ALVAREZ,Water Bottle - 30 oz.,6,2017
SETH,MCDONALD,"""Half-Finger Gloves, L""",6,2017
JUSTIN,LONG,"""Half-Finger Gloves, M""",6,2017
JEREMY,BRYANT,Mountain Tire Tube,6,2017
MIGUEL,LEE,Patch Kit/8 Patches,6,2017
ROGER,GUO,Touring Tire Tube,6,2017
SAMUEL,PHILLIPS,Touring Tire Tube,6,2017
HAROLD,SAI,Touring Tire Tube,6,2017
JAKE,SHE,"""Mountain-200 Silver, 46""",6,2017
JULIA,WILSON,Water Bottle - 30 oz.,6,2017
ANGEL,GRAY,Road Tire Tube,6,2017
TYRONE,GOMEZ,Patch Kit/8 Patches,6,2017
DONNA,DENG,Water Bottle - 30 oz.,6,2017
MARVIN,DOMINGUEZ,Water Bottle - 30 oz.,6,2017
STEPHANIE,SCOTT,AWC Logo Cap,6,2017
RYAN,WALKER,Touring Tire Tube,6,2017
JAMES,JACKSON,Touring Tire Tube,6,2017
RILEY,BROOKS,Water Bottle - 30 oz.,6,2017
TIMOTHY,GRAY,Water Bottle - 30 oz.,6,2017
LEE,TRAVERS,Patch Kit/8 Patches,6,2017
EMMA,THOMAS,Water Bottle - 30 oz.,6,2017
RUBEN,CHANDRA,Touring Tire Tube,6,2017
CLAUDIA,ZHANG,"""Touring-1000 Yellow, 46""",6,2017
STEPHANIE,BAKER,AWC Logo Cap,6,2017
KARI,RUIZ,Road Tire Tube,6,2017
KAITLYN,ALEXANDER,Mountain Bottle Cage,6,2017
ALEXIA,HENDERSON,Patch Kit/8 Patches,6,2017
JANET,SANZ,Road Tire Tube,6,2017
ISAAC,PETERSON,Water Bottle - 30 oz.,6,2017
KAITLYN,HILL,Patch Kit/8 Patches,6,2017
JESSE,SCOTT,"""Racing Socks, M""",6,2017
EUGENE,LI,"""Half-Finger Gloves, L""",6,2017
LOGAN,YANG,"""Half-Finger Gloves, M""",6,2017
CAROL,TORRES,Water Bottle - 30 oz.,6,2017
VANESSA,DIAZ,Water Bottle - 30 oz.,6,2017
CYNTHIA,CHANDRA,Patch Kit/8 Patches,6,2017
ANGELA,BUTLER,"""Half-Finger Gloves, M""",6,2017
RICHARD,COOPER,Water Bottle - 30 oz.,6,2017
NOAH,PATTERSON,Water Bottle - 30 oz.,6,2017
NATALIE,GREEN,Mountain Bottle Cage,6,2017
MAYRA,ARUN,Touring Tire,6,2017
STEPHANIE,HALL,Patch Kit/8 Patches,6,2017
ANGEL,RAMIREZ,"""Racing Socks, L""",6,2017
